Time, Titulos,Estado
Palmeiras,12,SP
Santos,8,SP
Flamengo,8,RJ
Corinthians,7,SP
São Paulo,6,SP
Cruzeiro,4,MG
Fluminense,4,RJ
Vasco,4,RJ
Atlético-MG,3,MG
Internacional,3,RS
Bahia,2,BA
Botafogo,3,RJ
Grêmio,2,RS
Athletico-PR,1,PR
Coritiba,1,PR
Guarani,1,SP
Sport,1,PE
